Top 10 in network string_interactions (1).tsv ranked by Degree method
Rank,Name,Score
1,LHX5,8.0
1,MEIS2,8.0
1,PBX2,8.0
4,PBX4,6.0
4,PKNOX2,6.0
6,C16orf71,4.0
6,FEZF2,4.0
6,RELN,4.0
9,IGF2,2.0
9,SLC22A18AS,2.0
